x,y
74,18
74,19
75,20
76,21
76,22
77,23
77,24
78,25
78,26
79,27
79,28
80,29
81,28
80,29
80,30
80,31
80,32
80,33
80,34
80,35
80,36
80,37
80,38
80,39
80,40
80,41
79,42
79,43
79,44
79,45
79,46
79,47
79,48
78,49
78,50
78,51
78,52
77,53
77,54
77,55
78,56
78,57
77,58
76,59
75,59
74,59
73,59
72,60
71,60
70,60
69,61
68,61
67,61
68,61
69,61
70,60
71,60
72,60
73,59
74,59
75,59
76,59
77,58
78,59
79,60
80,61
81,62
82,63
82,64
83,65
84,66
85,67
86,68
87,69
88,70
89,70
90,70
91,71
92,72
93,72
94,73
95,73
96,72
97,72
98,73
99,73
100,73
101,74
102,74
103,74
104,74
105,74
106,74
107,75
108,75
109,75
110,75
111,75
112,74
113,74
114,74
115,74
116,74
117,73
118,73
119,73
120,74
121,74
122,74
123,75
124,75
125,75
126,76
127,76
126,76
125,75
124,75
123,75
122,74
121,74
120,74
119,73
118,73
117,73
116,74
115,74
114,74
113,74
112,74
111,75
110,75
109,75
108,75
107,75
106,74
105,74
104,74
103,74
102,74
101,74
100,73
99,73
98,73
97,72
96,72
95,73
94,74
94,75
94,76
94,77
94,78
94,79
94,80
94,81
94,82
94,83
94,84
94,85
94,86
94,87
94,88
94,89
94,90
94,91
94,92
94,93
94,94
94,95
94,96
94,97
94,98
94,99
94,100
94,101
94,102
94,103
94,104
94,105
94,106
94,107
94,108
94,109
95,110
95,111
96,112
97,113
97,114
98,115
99,116
100,117
101,116
102,115
103,114
104,113
105,112
106,111
107,110
108,109
109,108
110,107
111,106
112,105
113,104
114,103
115,102
116,101
117,100
118,99
119,99
120,99
121,98
120,99
119,99
118,99
117,100
116,101
115,102
114,103
113,104
112,105
111,106
110,107
109,108
108,109
107,110
106,111
105,112
104,113
103,114
102,115
101,116
100,117
100,118
100,119
100,120
100,121
100,122
100,123
100,124
100,125
99,126
99,127
99,128
99,129
99,130
99,131
99,132
99,133
100,134
100,135
100,136
100,137
100,138
101,139
101,140
101,141
102,142
102,143
103,144
104,145
105,146
106,146
107,146
108,146
109,146
110,146
111,146
112,146
113,146
114,146
115,146
116,146
117,146
118,146
119,146
120,146
121,146
122,146
123,146
124,146
125,145
126,145
127,144
128,144
129,143
130,143
131,142
132,142
133,141
134,141
135,140
136,139
137,138
138,137
139,136
140,136
141,136
142,135
143,135
144,135
145,135
146,135
147,135
148,135
149,135
150,135
151,135
152,135
153,136
154,137
155,138
156,139
157,140
158,141
159,142
160,143
161,144
162,145
163,146
164,147
165,148
166,149
167,149
168,150
167,149
166,149
165,148
164,147
163,146
162,145
161,144
160,143
159,142
158,141
157,140
156,139
155,138
154,137
153,136
152,135
153,134
154,133
155,132
156,131
157,131
158,130
159,129
159,128
160,127
160,126
161,125
161,124
162,123
163,122
164,122
165,121
166,120
167,119
167,118
167,117
167,116
167,115
167,114
168,113
168,112
168,111
168,110
168,109
168,108
168,107
168,106
168,105
168,104
168,103
168,102
167,101
166,100
165,100
164,99
163,99
162,99
161,98
160,98
159,98
158,98
157,98
158,98
159,98
160,98
161,98
162,99
163,99
164,99
165,100
166,100
167,101
168,102
169,102
170,101
171,100
172,99
173,99
174,98
175,97
176,96
177,95
178,94
179,93
180,92
181,91
182,90
183,89
183,88
182,87
181,86
181,85
180,84
179,83
179,82
178,81
178,80
178,79
177,78
177,77
176,76
175,75
175,74
174,73
173,72
172,71
171,70
170,70
169,70
168,70
167,69
166,69
165,69
164,69
163,69
162,68
161,68
160,68
159,68
158,68
157,69
156,70
155,70
154,70
153,71
152,71
151,70
150,69
149,68
148,67
147,66
146,65
147,66
148,67
149,68
150,69
151,70
151,71
150,72
150,73
149,74
148,75
147,76
146,77
146,78
145,79
144,80
143,81
142,80
141,80
140,79
139,79
138,79
137,78
136,78
135,78
136,78
