x,y
145,205
145,235
164,235
165,236
165,255
175,255
175,216
176,215
195,215
195,185
185,185
185,204
184,205
165,205
165,224
164,225
156,225
155,224
155,205
155,175
155,136
156,135
175,135
175,76
176,75
184,75
185,76
185,95
215,95
215,76
216,75
224,75
225,76
225,104
224,105
205,105
205,175
215,175
215,116
216,115
235,115
235,65
205,65
205,84
204,85
196,85
195,84
195,65
145,65
145,75
164,75
165,76
165,124
164,125
145,125
145,164
144,165
136,165
135,164
135,125
116,125
115,124
115,105
105,105
105,164
104,165
96,165
95,164
95,76
96,75
115,75
115,65
85,65
85,184
84,185
76,185
75,184
75,145
65,145
65,164
64,165
45,165
45,184
44,185
36,185
35,184
35,165
25,165
25,195
44,195
45,196
45,215
55,215
55,176
56,175
64,175
65,176
65,195
84,195
85,196
85,215
95,215
95,176
96,175
115,175
115,136
116,135
124,135
125,136
125,175
